Month,Downloads
Apr2005,391
May2005,765
Jun2005,1074
Jul2005,1322
Aug2005,1530
Sep2005,1828
Oct2005,2205
Nov2005,2646
Dec2005,3007
Jan2006,3379
Feb2006,3818
Mar2006,4333
Apr2006,4876
May2006,5360
Jun2006,5831
Jul2006,6270
Aug2006,6702
Sep2006,7249
Oct2006,7961
Nov2006,8671
Dec2006,9312
Jan2007,9917
Feb2007,10552
Mar2007,11309
Apr2007,12217
May2007,12945
Jun2007,13585
Jul2007,14133
Aug2007,14643
Sep2007,15270
Oct2007,16169
Nov2007,17155
Dec2007,17805
Jan2008,18527
Feb2008,19445
Mar2008,20447
Apr2008,21614
May2008,22621
Jun2008,23423
Jul2008,24108
Aug2008,24788
Sep2008,25632
Oct2008,26751
Nov2008,27885
Dec2008,28130
Jan2009,28517
Feb2009,29343
Mar2009,30453
Apr2009,31487
May2009,32435
Jun2009,33531
Jul2009,34491
Aug2009,35446
Sep2009,36725
Oct2009,38405
Nov2009,39935
Dec2009,41056
Jan2010,42247
Feb2010,43398
Mar2010,45375
Apr2010,46458
May2010,47197
Jun2010,47719
Jul2010,48236
Aug2010,48764
Sep2010,49439
Oct2010,50869
Nov2010,52215
Dec2010,53208
Jan2011,54245
Feb2011,55422
Mar2011,56945
Apr2011,58236
May2011,59499
Jun2011,60638
Jul2011,61506
Aug2011,62404
Sep2011,63495
Oct2011,65051
Nov2011,66449
Dec2011,67667
Jan2012,68773
Feb2012,69992
Mar2012,71550
Apr2012,73058
May2012,73980
Jun2012,75184
Jul2012,76329
Aug2012,77621
Sep2012,79128
Oct2012,80879
Nov2012,82661
Dec2012,84100
Jan2013,85483
Feb2013,86806
Mar2013,88315
Apr2013,88782
May2013,89026
Jul2013,89365
Aug2013,90442
Sep2013,91865
Oct2013,93555
Nov2013,95281
Dec2013,96594
Jan2014,98048
Feb2014,99426
Mar2014,101095
Apr2014,102594
May2014,104009
Jun2014,105240
Jul2014,106729
Aug2014,108225
Sep2014,110184
Oct2014,112683
Nov2014,115345
Dec2014,117266
Jan2015,119497
Feb2015,121582
Mar2015,124170
Apr2015,126774
May2015,129296
Jun2015,131481
Jul2015,133346
Aug2015,135256
Sep2015,137328
Oct2015,140082
Nov2015,143026
Dec2015,145470
Jan2016,147718
Feb2016,149990
Mar2016,152987
Apr2016,155496
May2016,158123
Jun2016,160438
Jul2016,160534
Dec2016,178402
